Title,Rating,Season,Episode,Episode Name,Description
CSI: Miami,TV-14,T3,E11,Adicción,Un robo de auto aparentemente al azar resulta ser lo contrario cuando la adicción al juego de una mujer joven se vuelve más de lo que la empresa familiar puede soportar.
CSI: Miami,TV-14,T2,El gran hermano,El gran hermano,"Horatio finalmente cierra el caso del asesinato de su hermano. Se reencuentra con Suzie, una ex-drogadicta que estuvo involucrada con su hermano."
CSI: Miami,TV-14,T2,E5,La mejor defensa,"Cuando un robo/homicidio deja a dos hombres muertos y a un tercero aún con vida, Horacio está decidido a averiguar qué sucedió realmente."
6 Balas,R,N/A,N/A,N/A,"Cuando secuestran a la hija de un profesional de artes marciales, sólo hay un hombre que puede ayudar a encontrarla: un ex-mercenario."
Asesinos de elite,R,N/A,N/A,N/A,"Un hombre retirado del SEAL, deberá volver a la acción y reunir a su antiguo equipo para enfrentarse a un grupo de soldados renegados que provienen de los grupos militares más temidos del mundo, antes que provoquen un desastre político."
NCIS,TV-14,T3,E10,Novato,"Cuando McGee mata a un hombre durante una misión, el equipo del NCIS interviene para respaldarlo al descubrir que se trataba de un oficial de policía encubierto."
NCIS,TV-14,T3,E15,Decapitado,El equipo del NCIS se sorprende cuando descubren la cabeza cortada de un marino en un taller de desguace automotriz ilegal dirigido por infantes de marina.
NCIS,TV-14,T3,E21,Matanza,"Tras descubrir que se montó una espeluznante escena de asesinato, el equipo descubre que Abby era el objetivo previsto cuando una evidencia clave contamina su laboratorio y casi la mata."
La Academia 2024,N/A,T1,E1,N/A,La Academia
La Academia 2024,N/A,T1,E1,N/A,La Academia
La Academia 2024,N/A,T1,E1,N/A,La Academia
Ciclismo: Highlights: Vuelta a España,N/A,T1,N/A,N/A,Los momentos más destacados de la primera etapa de la Vuelta Ciclista a España. El evento se celebra del 17 de agosto al 8 de septiembre.
Informe Leo: Dura prueba ante Columbus,N/A,T1,N/A,N/A,Información y mas cápsulas de todo lo que acontece en la carrera deportiva de Lionel Messi.
Deportes en Claro,N/A,T1,N/A,N/A,Los hechos deportivos más importantes de la jornada.
South Park,TV-MA,South Park: Episodio Especial de Pandemia,E1,South Park: Episodio Especial de Pandemia,Randy asume su papel en el brote de Covid-19 mientras la pandemia presenta desafíos contínuos a los ciudadanos de South Park.
South Park,TV-MA,T24,Especial de vacunación de South ParQ,Especial de vacunación de South ParQ,Los ciudadanos de South ParQ claman por la vacuna contra el COVID-19.
South Park,TV-MA,T1,E1,Cartman consigue una sonda anal,"Cartman le cuenta a sus amigos sobre un extraño sueño que tuvo en donde unos ''visitantes'' lo abducen y le ponen una sonda anal. Pero al parecer, no fue sólo un sueño, ya que algo está desollando a las vacas del pequeño pueblo."
